dia phuong,Năm,1,2,3,4,5,6,7,8,9,10,11,12
geoId-VNM,2002,101.1,102.2,99.2,100.0,100.3,100.1,99.9,100.1,100.2,100.3,100.3,100.3
geoId-VNM,2003,100.9,102.2,99.4,100.0,99.9,99.7,99.7,99.9,100.1,99.8,100.6,100.8
geoId-VNM,2004,101.1,103.0,100.8,100.5,100.9,100.8,100.5,100.6,100.3,100.0,100.2,100.6
geoId-VNM,2005,101.1,102.5,100.1,100.6,100.5,100.4,100.4,100.4,100.8,100.4,100.4,100.8
geoId-VNM,2006,101.2,102.1,99.5,100.2,100.6,100.4,100.4,100.4,100.3,100.2,100.6,100.5
geoId-VNM,2007,101.05,102.17,99.78,100.49,100.77,100.85,100.94,100.55,100.51,100.74,101.23,102.91
geoId-VNM,2008,102.38,103.56,102.99,102.2,103.91,102.14,101.13,101.56,100.18,99.81,99.24,99.32
geoId-VNM,2009,100.32,101.17,99.83,100.35,100.44,100.55,100.52,100.24,100.62,100.37,100.55,101.38
geoId-VNM,2010,101.36,101.96,100.75,100.14,100.27,100.22,100.06,100.23,101.31,101.05,101.86,101.98
geoId-VNM,2011,101.74,102.09,102.17,103.32,102.21,101.09,101.17,100.93,100.82,100.36,100.39,100.53
geoId-VNM,2012,101.0,101.37,100.16,100.05,100.18,99.74,99.71,100.63,102.2,100.85,100.47,100.27
geoId-VNM,2013,101.25,101.32,99.81,100.02,99.94,100.05,100.27,100.83,101.06,100.49,100.34,100.51
geoId-VNM,2014,100.69,100.55,99.56,100.08,100.2,100.3,100.23,100.22,100.4,100.11,99.73,99.76
geoId-VNM,2015,99.8,99.95,100.15,100.14,100.16,100.35,100.13,99.93,99.79,100.11,100.07,100.02
geoId-VNM,2016,100.0,100.42,100.57,100.33,100.54,100.46,100.13,100.1,100.54,100.83,100.48,100.23
geoId-VNM,2017,100.46,100.23,100.21,100.0,99.47,99.83,100.11,100.92,100.59,100.41,100.13,100.21
geoId-VNM,2018,100.51,100.73,99.73,100.08,100.55,100.61,99.91,100.45,100.59,100.33,99.71,99.75
geoId-VNM,2019,100.1,100.8,99.79,100.31,100.49,99.91,100.18,100.28,100.32,100.59,100.96,101.4
geoId-VNM,2020,101.23,99.83,99.28,98.46,99.97,100.66,100.4,100.07,100.12,100.09,99.99,100.1
geoId-VNM,2021,100.06,101.52,99.73,99.96,100.16,100.19,100.62,100.25,99.38,99.8,100.32,99.82
geoId-VNM,2022,100.19,101.0,100.7,100.18,100.38,100.69,100.4,100.0,100.4,100.15,100.39,99.99
